CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,-,-,"1,836.10",-28.70,250,"2,257.35","2,367.45",250,"22,250.00","3,74,600",0.50,0.55,"52,875",-1.70,0.50,38.55,"5,71,799","25,061","2,02,685",
,-,-,-,-,-,-,250,"2,202.15","2,317.35",250,"22,300.00","1,42,825",0.55,0.60,"1,175",-1.75,0.60,38.42,"1,68,417","-31,118","1,10,436",
,2,-,-,-,"1,941.00",-,250,"2,158.55","2,267.40",250,"22,350.00","56,575",0.55,0.70,"5,400",-1.95,0.55,37.31,"83,746","-5,712","11,132",
,249,-,-,-,"1,763.75",-5.15,250,"2,108.05","2,226.30",250,"22,400.00","21,600",0.65,0.75,"1,450",-1.70,0.80,37.88,"1,30,571","-4,864","28,191",
,-,-,-,-,-,-,250,"2,057.40","2,167.45",250,"22,450.00","28,800",0.55,1.00,"3,600",-1.90,0.75,36.82,"81,937","-4,234","10,305",
,994,2,8,-,"2,025.00",75.00,425,"2,019.80","2,121.75",125,"22,500.00","4,475",0.75,0.90,"1,800",-1.60,0.90,36.68,"2,05,437","-22,803","79,075",
,-,-,-,-,-,-,"1,775","1,898.45","2,138.55","1,000","22,550.00","7,200",0.70,0.90,"1,950",-1.95,0.75,35.19,"11,991","1,654","3,574",
,29,1,2,-,"1,971.50",296.40,75,"1,947.50","2,006.90",25,"22,600.00","26,900",0.70,0.80,950,-1.95,0.70,34.14,"56,592","-2,373","12,850",
,-,-,-,-,-,-,250,"1,859.70","1,976.20",250,"22,650.00","24,950",0.70,1.00,"5,000",-2.00,0.90,34.20,"14,490",-788,"3,909",
,38,-,-,-,"1,472.15",-,250,"1,809.05","1,917.40",250,"22,700.00","1,800",0.80,0.90,"1,125",-1.90,0.90,33.38,"71,981","-2,400","30,908",
,-,-,-,-,-,-,"1,775","1,700.15","1,951.65","1,000","22,750.00","7,200",0.70,1.00,250,-2.10,0.80,32.15,"11,869",300,"4,498",
,91,-,10,-,"1,740.20",-8.80,50,"1,724.95","1,823.35",175,"22,800.00","6,850",1.00,1.10,"3,050",-1.85,1.10,32.42,"77,856","-6,317","17,133",
,-,-,-,-,-,-,"1,775","1,600.30","1,865.70","1,775","22,850.00","5,900",0.90,1.05,450,-2.00,1.05,31.42,"14,666",-41,"4,733",
,420,-2,4,-,"1,659.00",-14.90,75,"1,661.30","1,671.50",50,"22,900.00","2,100",0.85,0.95,"11,475",-2.25,0.95,30.25,"1,66,850","1,156","35,345",
,4,-,-,-,"1,446.00",-,250,"1,566.80","1,667.40",250,"22,950.00","3,250",1.00,1.20,325,-2.20,1.00,29.58,"24,238","-3,257","4,734",
,"2,340",-71,396,-,"1,570.35",10.05,200,"1,560.40","1,570.95",75,"23,000.00","3,250",1.05,1.30,50,-2.30,1.20,29.34,"6,93,983","-46,546","1,62,857",
,-,-,-,-,-,-,250,"1,459.30","1,576.70",250,"23,050.00",450,1.25,2.70,450,-2.35,1.25,28.62,"43,995",-265,"7,211",
,91,-,4,-,"1,460.00",-,175,"1,442.15","1,493.55",175,"23,100.00","1,800",1.20,1.35,"1,800",-2.45,1.15,27.51,"1,91,922","-5,154","25,967",
,1,-,2,-,"1,404.55",242.75,50,"1,404.55","1,443.60",50,"23,150.00","1,525",1.25,1.70,"3,600",-2.60,1.25,26.92,"70,778",593,"11,259",
,185,-14,21,-,"1,367.00",10.45,225,"1,361.65","1,372.30",50,"23,200.00","1,225",1.30,1.50,750,-2.45,1.40,26.42,"6,07,625","-93,576","61,530",
,2,-,14,-,"1,263.10",66.15,50,"1,299.15","1,328.30",50,"23,250.00","1,800",1.35,2.15,100,-2.95,1.35,25.44,"81,981","-13,807","11,946",
,181,36,470,-,"1,269.75",10.70,525,"1,261.75","1,272.20",50,"23,300.00","1,550",1.60,1.75,550,-2.85,1.70,25.28,"4,00,808","-42,315","48,860",
,61,58,186,-,"1,216.50",206.50,25,"1,214.20","1,224.45",50,"23,350.00",800,1.25,1.70,"1,700",-3.10,1.70,24.40,"71,679","1,486","13,909",
,452,-23,378,-,"1,163.35",-7.65,50,"1,162.10","1,175.95",50,"23,400.00","5,600",1.70,1.95,"2,300",-3.20,1.90,23.85,"3,78,172","-22,253","60,190",
,96,-2,2,-,"1,119.10",0.80,50,"1,112.00","1,125.65",50,"23,450.00","4,000",1.65,2.15,250,-3.65,1.90,22.95,"77,013","-5,499","12,066",
,"2,661",-158,637,-,"1,070.70",-4.85,400,"1,063.40","1,071.30",150,"23,500.00",250,2.15,2.25,"1,500",-4.05,2.20,22.49,"6,96,258","-30,298","1,74,257",
,575,248,321,-,"1,014.35",-12.75,50,"1,013.75","1,021.20",50,"23,550.00",100,2.00,2.60,25,-4.30,2.30,21.71,"93,032","-6,553","10,536",
,"1,998",-13,47,-,970.85,-0.75,225,964.00,971.15,50,"23,600.00","2,000",2.35,2.40,550,-4.80,2.40,20.91,"5,48,470","-16,010","52,578",
,216,-,26,-,922.15,0.50,100,912.25,972.70,100,"23,650.00","1,800",2.35,3.30,25,-5.45,2.35,19.92,"1,81,099","-8,118","12,331",
,"1,444",-53,477,-,865.40,-10.45,375,864.25,872.25,50,"23,700.00","1,850",2.70,2.90,"1,800",-5.90,2.70,19.37,"8,02,082","2,119","81,371",
,336,-30,154,-,822.55,-4.75,200,811.50,826.40,150,"23,750.00",950,2.85,3.00,150,-6.55,2.90,18.62,"2,67,003","-3,020","21,614",
,"2,011",-746,"2,193",-,768.00,-0.70,25,766.35,773.20,200,"23,800.00","1,800",3.30,3.35,"2,750",-7.20,3.35,18.06,"7,20,487","29,501","1,26,665",
,"1,132",-60,309,-,722.90,-3.15,175,713.45,725.85,175,"23,850.00","1,200",3.70,3.85,100,-8.15,3.80,17.43,"3,49,092","10,745","38,864",
,"3,630",-52,"1,230",-,675.15,-4.30,50,667.05,674.15,50,"23,900.00",25,4.10,4.20,500,-9.40,4.05,16.61,"13,15,253","1,21,817","2,19,776",
,"2,557",-16,299,-,618.70,-11.85,75,614.00,677.50,175,"23,950.00","6,200",5.05,5.40,850,-10.55,5.05,16.21,"6,82,139","20,292","46,910",
,"16,670","-5,198","51,690",-,573.75,-10.20,"2,575",570.00,572.90,25,"24,000.00","14,475",6.50,6.70,"1,325",-11.70,6.70,15.99,"15,60,231","62,206","2,33,874",
,"5,499",-436,"1,972",-,522.90,-14.20,25,522.90,526.20,250,"24,050.00",275,7.65,7.85,150,-13.95,7.65,15.29,"6,44,219","19,369","46,974",
,"17,105","-2,932","30,839",-,478.45,-12.40,125,475.00,478.85,50,"24,100.00","1,275",9.90,10.20,775,-15.05,10.20,15.09,"10,89,866","25,087","1,27,090",
,"13,190",-569,"15,625",-,429.30,-15.00,"2,350",411.05,431.70,25,"24,150.00",25,12.80,13.10,"2,350",-17.30,12.80,14.67,"5,65,097","6,621","47,682",
,"24,186","-11,068","80,626",-,387.55,-12.60,375,382.00,385.75,25,"24,200.00","1,375",17.00,17.20,"2,575",-18.60,17.20,14.53,"14,39,704","29,666","1,60,467",
,"19,505","2,175","49,312",-,339.75,-19.10,150,336.05,340.25,350,"24,250.00",100,22.10,22.45,50,-20.75,22.10,14.23,"7,21,201","16,689","64,549",
,"46,543","-11,664","2,41,668",8.08,296.45,-19.75,"1,050",294.00,297.00,125,"24,300.00",25,28.40,28.95,"1,000",-22.65,28.20,13.91,"16,88,127","11,881","1,51,944",
